date,月末残高,前月比増減
2023-03-31,29057234.0,45827.0
2023-04-30,29169402.0,112168.0
2023-05-31,29103943.0,-65459.0
2023-06-30,30115442.0,1011499.0
2023-07-31,30199121.0,83679.0
2023-08-31,29497100.0,-702021.0
2023-09-30,29485776.0,-11324.0
2023-10-31,29544194.0,58418.0
2023-11-30,29335086.0,-209108.0
2023-12-31,30278331.0,943245.0
2024-01-31,28777744.0,-1500587.0
2024-02-29,29877526.0,1099782.0
2024-03-31,29821782.0,-55744.0
2024-04-30,29812078.0,-9704.0
2024-05-31,29823055.0,10977.0
2024-06-30,31013575.0,1190520.0
2024-07-31,31019268.0,5693.0
2024-08-31,31033582.0,14314.0
2024-09-30,31066009.0,32427.0
2024-10-31,30987168.0,-78841.0
2024-11-30,31024463.0,37295.0
2024-12-31,32131553.0,1107090.0
2025-01-31,32194159.0,62606.0
2025-02-28,32082720.0,-111439.0
2025-03-31,32093113.0,10393.0
2025-04-30,32219820.0,126707.0
2025-05-31,32352102.0,132282.0
2025-06-30,33640255.0,1288153.0
2025-07-31,33819985.0,179730.0
2025-08-31,34156000.0,336015.0
2025-09-30,34239977.0,83977.0
2025-10-31,34466589.0,226612.0
2025-11-30,34712579.0,245990.0
2025-12-31,36023645.0,1311066.0
2026-01-31,36006392.0,-17253.0
2026-02-28,36233488.0,227096.0
2026-03-31,36210136.0,-23352.0
2026-04-30,36335751.0,125615.0
2026-05-31,36548605.0,212854.0
2026-06-30,37454765.0,906160.0
